box_left,box_top,height,width,volume
514.72448,257.62253216,41.1663196,81.80008,3367.408236585568
box_left,box_top,height,width,volume
1481.67544,400.89326032,41.05425912,71.1256,2920.008812465472
box_left,box_top,height,width,volume
392.591456,460.7347696,45.0330286,84.1634992,3790.1372665496774
box_left,box_top,height,width,volume
287.907312,943.2435544,39.96090761599999,86.8638032,3471.156414849605
box_left,box_top,height,width,volume
561.06672,202.01718992000002,46.374395312,78.16586559999999,3624.8947512390614
box_left,box_top,height,width,volume
622.9083519999999,770.3644088,51.517053112,100.046304,5154.090756827299
box_left,box_top,height,width,volume
1456.539248,365.3389768,42.193427528,73.2746128,3091.707064819061
box_left,box_top,height,width,volume
556.581072,446.3097492,47.591935832,82.44772,3923.846599734703
box_left,box_top,height,width,volume
1272.320272,806.9990991999999,45.12698512,88.07639999999999,3974.6223922231675
box_left,box_top,height,width,volume
514.72448,257.62253216,41.1663196,81.80008,3367.408236585568
box_left,box_top,height,width,volume
1481.67544,400.89326032,41.05425912,71.1256,2920.008812465472
box_left,box_top,height,width,volume
392.591456,460.7347696,45.0330286,84.1634992,3790.1372665496774
box_left,box_top,height,width,volume
287.907312,943.2435544,39.96090761599999,86.8638032,3471.156414849605
box_left,box_top,height,width,volume
561.06672,202.01718992000002,46.374395312,78.16586559999999,3624.8947512390614
box_left,box_top,height,width,volume
622.9083519999999,770.3644088,51.517053112,100.046304,5154.090756827299
box_left,box_top,height,width,volume
1456.539248,365.3389768,42.193427528,73.2746128,3091.707064819061
box_left,box_top,height,width,volume
556.581072,446.3097492,47.591935832,82.44772,3923.846599734703
box_left,box_top,height,width,volume
1272.320272,806.9990991999999,45.12698512,88.07639999999999,3974.6223922231675
box_left,box_top,height,width,volume
514.72448,257.62253216,41.1663196,81.80008,3367.408236585568
box_left,box_top,height,width,volume
1481.67544,400.89326032,41.05425912,71.1256,2920.008812465472
box_left,box_top,height,width,volume
392.591456,460.7347696,45.0330286,84.1634992,3790.1372665496774
box_left,box_top,height,width,volume
287.907312,943.2435544,39.96090761599999,86.8638032,3471.156414849605
box_left,box_top,height,width,volume
561.06672,202.01718992000002,46.374395312,78.16586559999999,3624.8947512390614
box_left,box_top,height,width,volume
622.9083519999999,770.3644088,51.517053112,100.046304,5154.090756827299
box_left,box_top,height,width,volume
1456.539248,365.3389768,42.193427528,73.2746128,3091.707064819061
box_left,box_top,height,width,volume
556.581072,446.3097492,47.591935832,82.44772,3923.846599734703
box_left,box_top,height,width,volume
1272.320272,806.9990991999999,45.12698512,88.07639999999999,3974.6223922231675
